source,target,source_location,target_location,source_coordinates,target_coordinates,Con,Date,Year,From_Node_Full_Name,PP,agt_description,AgtId
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1996-08-22,1996,"Agreement ""On Urgent Measures to Stop Fire and Combat Operations in the City of Grozny and on the Territory of Chechnya""",Chechnya peace process,"Agreement to end fire and combat operations and to begin to exchange all prisoners, refugees, and bodies of the dead; for warring sides to withdraw from Grozny; and the withdrawal of federal Russian troops from the Chechen Republic.",227
Tajikistan peace process_location_0,Tajikistan peace process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Tajikistan,1996-12-23,1996,"Agreement between the President of the Republic of Tajikistan, E.S. Rakhmonov, and the leader of the United Tajik-Opposition, S.A.Huri, on the Results of the Meeting held in Moscow on 23 December 1996",Tajikistan peace process,"The agreement is composed of two documents (Annex 1 and Annex 2)

The first Annex sets a timetable of 12-18 months for completing of Inter-Tajik talks, notes establishment of Commission on National Reconciliation (see Protocol below) and also the ‘need to implement a universal amnesty and reciprocal pardoning of persons who took part in the military and political confrontation.' 

The second Annex establishes a Commission on National Reconciliation to (1) implement the agreements (2) create an atmosphere of trust and mutual forgiveness and (3) institute broad dialogue among the various political forces in the country.  Specific tasks are assigned the commission, such as implementing measures for ‘safe and appropriate’ return of refugees, and designing proposals for amending legislation on political parties, movements and the mass media.  The Commission is given the power to submit to referendum proposals for amendments and additions to the existing Constitution; to prepare a new law on elections; and to establish a transitional Central Commission on Elections and the Conduct of the Referendum.",239
Yemen unification process_location_8,Yemen unification process_location_0,"اليَمَن, اليمن","Россия, Россия",POINT (47.8915271 16.3471243),POINT (97.7453061 64.6863136),Yemen,1994-06-30,1994,Agreement on a Ceasefire in the Republic of Yemen,Yemen unification process,"In this agreements the parties agree to a comprehensive and general ceasefire, to continue negotiations in accordance with United Nations Security Council resolutions, and to allow access to the International Committee of the Red Cross and other humanitarian organisations to be allowed to deliver humanitarian relief. ",250
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1996-05-27,1996,"Agreement on a Ceasefire, the Cessation of Military Activities, and on Measures for a Settlement of the Armed Conflict on the Territory of the Chechen Republic",Chechnya peace process,"A ceasefire agreement signed by acting Chechen President Yandarbiev and Russian Prime Minister Chernomyrdin with the two protocols below, fleshing out the other commitments.",251
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1995-07-30,1995,Agreement on the peaceful regulation of the Situation in the Chechen Republic (on a set of military issues),Chechnya peace process,"Agreement outlines a full cessation of military activities, and end to terrorist acts and sabotage, disarmament protocols, and the release of detainees.",288
Chechnya peace process_location_6,Chechnya peace process_location_0,"Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия","Россия, Россия",POINT (45.70681761688915 43.31707935),POINT (97.7453061 64.6863136),Russia/Chechnya,1995-12-03,1995,Agreement: On the basic principles of relations between the Russian Federation and the Chechen Republic,Chechnya peace process,"The agreement provides principles for delimitation of powers between organs of state power of the Russian Federation and the organs of state power of the Chechen Republic, for the conclusion of a definitive Treaty on such matters in future negotiations.",302
Sudanese (North-South) peace process_location_0,Sudanese (North-South) peace process_location_9,"Россия, Россия","Algérie, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر",POINT (97.7453061 64.6863136),POINT (2.9999825 28.0000272),South Sudan/Sudan,2004-11-19,2004,Declaration on the Conclusion of IGAD Negotiations on Peace in the Sudan,Sudanese (North-South) peace process,"An interim agreement in which the Parties affirm that the six Protocols in the Nairobi Declaration (5/06/2004) constitute the core of the Comprehensive Peace Agreement, and agree to future negotiations on a permanent ceasefire in order to complete the Comprehensive Peace Agreement. Furthermore, the Parties invite the UN Security Council to endorse the six Protocols, to which the UN Security Council pass UN SC Resolution 1574 (2004). ",362
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1996-05-31,1996,Draft Treaty on the Delimitation of Subjects of Jurisdiction and Powers between the Russian Federation Organs of State Power and the Chechen Republic Organs of State Power,Chechnya peace process,"Provides for ‘the special status within the Russian Federation of the Chechen Republic as a sovereign, democratic, rule-of-law, social state’.  Provides for a delimitation of Russian and Chechen competencies.",371
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_5,"ישראל, ישראל","مصر, مصر",POINT (34.8594762 30.8124247),POINT (29.2675469 26.2540493),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_0,"ישראל, ישראל","Россия, Россия",POINT (34.8594762 30.8124247),POINT (97.7453061 64.6863136),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_4,"ישראל, ישראל","الأردن, الأردن",POINT (34.8594762 30.8124247),POINT (36.941628 31.1667049),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Israel-Palestine peace process_location_5,Israel-Palestine peace process_location_0,"مصر, مصر","Россия, Россия",POINT (29.2675469 26.2540493),POINT (97.7453061 64.6863136),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Israel-Palestine peace process_location_5,Israel-Palestine peace process_location_4,"مصر, مصر","الأردن, الأردن",POINT (29.2675469 26.2540493),POINT (36.941628 31.1667049),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Israel-Palestine peace process_location_0,Israel-Palestine peace process_location_4,"Россия, Россия","الأردن, الأردن",POINT (97.7453061 64.6863136),POINT (36.941628 31.1667049),Israel/Palestine,1995-09-28,1995,Israeli-Palestinian Interim Agreement on the West Bank and the Gaza Strip ('Oslo II'),Israel-Palestine peace process,,410
Tajikistan peace process_location_0,Tajikistan peace process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Tajikistan,1997-01-19,1997,Joint Statement by the Delegation of the Goverment of Tajikistan and the Delegation of the United Tajik Opposition,Tajikistan peace process,"Agreed on structure, composition and specific functions and powers of commission on national reconciliation and on the procedure for the adoption of the Reciprocal Pardon Act and Amnesty Act.  Agreement was also reached concerning the commission on elections, the conduct of a referendum for the transition period and mechanism for including UTO representatives in the Government power structures.  Agreement on continuing discussions on the question of the renewal of activity of the political parties and movements forming part of the UTO.",428
Tajikistan peace process_location_7,Tajikistan peace process_location_0,"Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة","Россия, Россия",POINT (55.147647448637606 24.956654649999997),POINT (97.7453061 64.6863136),Tajikistan,1997-03-08,1997,Joint Statement by the Delegation of the Govt of the Rep of Tajikistan and the Delegation of the United Tajik Opposition on the outcome of the Inter-Tajik Talks held in Moscow from 26 February to 8 March 1997,Tajikistan peace process,"Joint Statement accompanying Protocol on Military Issues, agreeing date and venue for next round of talks.",429
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1997-05-12,1997,Peace Treaty and Principles of Interrelation between Russian Federation and Chechen Republic Ichkeria,Chechnya peace process,"Brief agreement with three provisions. Treaty was accompanied by two intergovernmental agreements, one dealing with economic cooperation, and the second with the mechanism for effecting financial transfers between Russian Central Banka and Chechen government.",481
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1995-06-21,1995,"Protocol of the Meeting of Delegates for the Peaceful Resolution of the Crisis in the Chechen Republic, with the Cooperation of the OSCE",Chechnya peace process,"Agreement provides measures to guarantee a cessation of armed activity, as well as a confidence building measure by Chechnya to aid Russia in detaining the Chechen militant, Shamil Basaev.",509
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1995-06-20,1995,Protocol of the Meeting of Delegations on the Issue of Peaceful Resolution of the Crisis in the Chechen Republic with OSCE Support,Chechnya peace process,"Pre-negotiation agmt; parties agree 'block of war issues' for further negotiation, including 'political and social issues', and the 'economic block'",510
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1996-05-28,1996,Protocol of the Meeting of the Working Groups on the Question of a Settlement of the Armed Conflict on the Territory of the Chechen Republic,Chechnya peace process,"Parties exchanged proposals on a ceasefire and the composition of working commissions for negotiations and time-frames for the following meeting, and agreed objectives for liberating all persons being retained by force.",512
Chechnya peace process_location_0,Chechnya peace process_location_6,"Россия, Россия","Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия",POINT (97.7453061 64.6863136),POINT (45.70681761688915 43.31707935),Russia/Chechnya,1996-06-10,1996,"Protocol of the Meeting of the Working Groups, Formed under the Negotiations Commissions, to Locate Missing Persons and to Free Forcibly Detained Persons",Chechnya peace process,Agreement provided for the establishment of a joint working group to locate missing persons and to free POWs and set date for exchange of 27 military personnel from each side.,513
Tajikistan peace process_location_0,Tajikistan peace process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Tajikistan,1997-03-08,1997,Protocol on Military Issues,Tajikistan peace process,"Commitments to ‘reintegration, disarmament and disbandment of armed units of United Tajik Opposition, as well as reform of governmental power structures,’ to be carried out by President, Commission on National Reconciliation and with cooperation of UN observers.  The detail of four stages is provided, leading from a UTO inventory, to UTO reintegration into governmental power structures.  Joint crime measures are to be taken as ‘confidence-building’ measures.",514
Tajikistan peace process_location_0,Tajikistan peace process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Tajikistan,1997-05-27,1997,Protocol on the Guarantees of Implementation of the General Agreement on Establishment of Peace and National Accord in Tajikistan,Tajikistan peace process,Agreement establishing role of the international community in enforcing the General Agreement and the work of the Commission on National Reconciliation.,519
Chechnya peace process_location_6,Chechnya peace process_location_0,"Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия","Россия, Россия",POINT (45.70681761688915 43.31707935),POINT (97.7453061 64.6863136),Russia/Chechnya,1996-11-23,1996,Russian-Chechen Agreement,Chechnya peace process,"Agreement on the principles of relations between the federal center of the Russian Federation and the Chechen Republic, until the election of a new parliament and President of the Chechen Republic, concerning the economic sector and humanitarian issues, and the defense sector.",532
Chechnya peace process_location_6,Chechnya peace process_location_0,"Резиденция Главы Чеченской Республики, Грозный, Чечня, Россия","Россия, Россия",POINT (45.70681761688915 43.31707935),POINT (97.7453061 64.6863136),Russia/Chechnya,1996-08-25,1996,Russian-Chechen Truce Agreement: Principles for Determining the Fundamentals of  Relations between the Russian Federation and the Chechen Republic [Khasavyut Accord],Chechnya peace process,"Postponed a decision on the status of Chechnya, calling for an agreement on a treaty for regulating Russian-Chechen relations to be made before 31 December 2001.  Also stipulated the creation of  Joint Commission of Russian and Chechen representatives to prepare for the withdrawal of Russian forces from Chechnya, combat ‘crime and terrorism’, draw up proposals for economic reconstruction, implement programmes for rebuilding of infrastructure, and control supply and distribution of food and medical aid.  Joint commitment to agreement made by parties on 31 August 1996.",533
Afghanistan: 2000s Post-intervention process_location_0,Afghanistan: 2000s Post-intervention process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Afghanistan,1999-07-19,1999,Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan,Afghanistan: 2000s Post-intervention process,"This short declaration commits the parties to refrain from providing military support to any group in Afghanistan. It outlines a negotiation process, and refers to issues including the trade of narcotics, humanitarian assistance, and the formation of a multi-ethnic government. ",553
Tajikistan peace process_location_0,Tajikistan peace process_location_7,"Россия, Россия","Islamic Republic of Iran Pavilion, الإمارات العربية المتحدة",POINT (97.7453061 64.6863136),POINT (55.147647448637606 24.956654649999997),Tajikistan,1997-05-18,1997,Tehran Declaration,Tajikistan peace process,"Declaration accompanying Protocol on the Guarantees of Implementation welcoming commitments made in the Protocol, thanking the Guarantor nation.",555
Syrian peace process_location_0,Syrian peace process_location_10,"Россия, Россия","جامعة الدول العربية, مطروح, مصر",POINT (97.7453061 64.6863136),POINT (29.309454311030105 30.864637000000002),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_0,Syrian peace process_location_11,"Россия, Россия","قطر, قطر",POINT (97.7453061 64.6863136),POINT (51.2295295 25.3336984),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_0,Syrian peace process_location_12,"Россия, Россия","العراق, العراق",POINT (97.7453061 64.6863136),POINT (44.1749775 33.0955793),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_0,Syrian peace process_location_13,"Россия, Россия","Türkiye, Türkiye",POINT (97.7453061 64.6863136),POINT (34.9249653 38.9597594),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_10,Syrian peace process_location_11,"جامعة الدول العربية, مطروح, مصر","قطر, قطر",POINT (29.309454311030105 30.864637000000002),POINT (51.2295295 25.3336984),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_10,Syrian peace process_location_12,"جامعة الدول العربية, مطروح, مصر","العراق, العراق",POINT (29.309454311030105 30.864637000000002),POINT (44.1749775 33.0955793),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_10,Syrian peace process_location_13,"جامعة الدول العربية, مطروح, مصر","Türkiye, Türkiye",POINT (29.309454311030105 30.864637000000002),POINT (34.9249653 38.9597594),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_11,Syrian peace process_location_12,"قطر, قطر","العراق, العراق",POINT (51.2295295 25.3336984),POINT (44.1749775 33.0955793),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_11,Syrian peace process_location_13,"قطر, قطر","Türkiye, Türkiye",POINT (51.2295295 25.3336984),POINT (34.9249653 38.9597594),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Syrian peace process_location_12,Syrian peace process_location_13,"العراق, العراق","Türkiye, Türkiye",POINT (44.1749775 33.0955793),POINT (34.9249653 38.9597594),Syria,2012-06-30,2012,Final Communiqué of the Action Group for Syria (Geneva Communiqué),Syrian peace process,"Agreement to take collective action to bring about a ceasefire in Syria, and to support a Syrian-led political transition, in part through implementation of previous commitments (the Six Point plan and UNSC resolutions 2042 (2012) and 2043 (2012)).",784
Afghanistan: 2000s Post-intervention process_location_14,Afghanistan: 2000s Post-intervention process_location_0,"السعودية, السعودية","Россия, Россия",POINT (42.3528328 25.6242618),POINT (97.7453061 64.6863136),Afghanistan,2011-12-05,2011,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Afghanistan: 2000s Post-intervention process,"This agreement renews the parties' commitment to the Kabul Process, and updates original commitments made at the Bonn conference in 2001. It focuses predominantly on international socio-economic assistance, reorganisation of the security forces, and the peace process. ",848
Afghanistan: 2000s Post-intervention process_location_14,Afghanistan: 2000s Post-intervention process_location_11,"السعودية, السعودية","قطر, قطر",POINT (42.3528328 25.6242618),POINT (51.2295295 25.3336984),Afghanistan,2011-12-05,2011,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Afghanistan: 2000s Post-intervention process,"This agreement renews the parties' commitment to the Kabul Process, and updates original commitments made at the Bonn conference in 2001. It focuses predominantly on international socio-economic assistance, reorganisation of the security forces, and the peace process. ",848
