Author,City,Institution,Keywords,coordinates
Luis Enrique Sánchez,Ciudad Real,Sicaman-NT,[],POINT (-3.9285138 38.9854201)
Eduardo Fernández-Medina,Dortmund,niversity of Castilla-La Mancha,[],POINT (7.4652789 51.5142273)
Hannes Holm,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Teodor Sommestad,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Ulrik Franke,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Mathias Ekstedt,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Ickin Vural,Pretoria,University of Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']",POINT (28.1879101 -25.7459277)
Hein S. Venter,Pretoria,University of Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']",POINT (28.1879101 -25.7459277)
Pattama Charuenporn,Bangkok,King Mongkut's Institute of Technology Ladkrabang,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']",POINT (100.4935089 13.7524938)
Sarun Intakosum,Bangkok,King Mongkut's Institute of Technology Ladkrabang,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']",POINT (100.4935089 13.7524938)
Oscar Rebollo,Madrid,Ministry of Labour and Immigration,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.7035825 40.4167047)
Daniel Mellado,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201)
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201)
Raimundas Matulevičius,Tartu,University of Tartu,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (26.72245 58.3801207)
Haralambos Mouratidis,London,University of East London,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (-0.1277653 51.5074456)
Nicolas Mayer,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768)
Eric Dubois,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768)
Patrick Heymans,Namur,University of Namur,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (4.8661892 50.4665284)
Carla-Lee Botha,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Elmarie Kritzinger,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Marianne Loock,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Jezabel Molina-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Pino Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Cándido Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Saïd Gharout,Caen,Orange Labs - France Telecom,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (-107.991707 61.0666922)
Abdelmadjid Bouabdallah,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497)
Yacine Challal,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497)
Mohammed Achemlal,Caen,Orange Labs - France Telecom,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (-107.991707 61.0666922)
Nadia Nedjah,Rio de Janeiro,State University of Rio de Janeiro,[],POINT (-43.2093727 -22.9110137)
Luiza de Macedo Mourelle,Rio de Janeiro,State University of Rio de Janeiro,[],POINT (-43.2093727 -22.9110137)
Freddy Bolanos,Medellin,Universidad Nacional de Colombia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Jose Edison Aedo,Medellin,Universidad de Antioquia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Fredy Rivera,Medellin,Universidad de Antioquia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Nader Bagherzadeh,Irvine,"University of California, Irvine","['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-117.8259819 33.6856969)
Luneque Silva Junior,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Nadia Nedjah,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Luiza de Macedo Mourelle,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Maurizio Palesi,Enna,Kore University,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (14.2807473 37.5667573)
Rafael Tornero,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065)
Juan Manuel Orduñna,Valencia,Universidad de Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065)
Vincenzo Catania,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612)
Daniela Panno,Catania,University of Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612)
Jason J. Jung,Gyeongsan,Yeungnam University,[],POINT (128.741329 35.825122)
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[],POINT (17.0326689 51.1089776)
Wilas Chamlertwat,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Pattarasinee Bhattarakosol,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Tippakorn Rungkasiri,Bangkok,Chulalongkorn University,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Choochart Haruechaiyasak,Pathumthani,National Electronics and Computer Technology Center,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.51976929479142 13.97270675)
Mahalakshmi G. Suryanarayanan,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Dilip S. Sam,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Sendhilkumar Selvaraju,Chennai,Anna University,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Xuan Hau Pham,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Jason J. Jung,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Dosam Hwang,Gyeongsan,Yeungnam University,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Ting Ting Qin,Hiroshima,Hiroshima University,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']",POINT (132.4517589 34.3917241)
Satoshi Fujita,Hiroshima,Hiroshima University,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']",POINT (132.4517589 34.3917241)
Victor Ströele,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Geraldo Zimbrão,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Jano M. Souza,Rio de Janeiro,Federal University of Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Daqiang Zhang,Nanjing,Nanjing Normal University,[],POINT (118.7788631 32.0438284)
Huansheng Ning,Beijing,Beihang University,[],POINT (116.412144 40.190632)
Kevin S. Xu,Changzhou,Changzhou University,[],POINT (119.9691539 31.8122623)
Feiyu Lin,Jönköping,Jönköping University,[],POINT (14.165719 57.7825634)
Laurence T. Yang,Vancouver,St. Francis Xavier University,[],POINT (-123.113952 49.2608724)
Hongyu Huang,Chongqing,Chongqing University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (106.5479189 29.5656729)
Daqiang Zhang,Nanjing,Nanjing Normal University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (118.7788631 32.0438284)
Yanmin Zhu,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
Minglu Li,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
Min-You Wu,Shanghai,Shanghai Jiao Tong University,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
Feiyu Lin,Changzhou,Changzhou University,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (119.9691539 31.8122623)
Kurt Sandkuhl,Rostock,Rostock University,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (12.1400211 54.0886707)
Shoukun Xu,Changzhou,Changzhou University,"['Internet of Things', 'context-aware computing', 'ontology matching']",POINT (119.9691539 31.8122623)
Huansheng Ning,Beijing,Beihang University,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (116.412144 40.190632)
Hong Liu,Beijing,Beihang University,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (116.412144 40.190632)
Qing Liu,Nanjing,Nanjing Normal University,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (118.7788631 32.0438284)
Genlin Ji,Nanjing,Nanjing Normal University,"['Internet of things', 'security', 'authentication protocol', 'directed path']",POINT (118.7788631 32.0438284)
Jian Chen,Tokorozawa,Waseda University,[],POINT (139.4687478 35.7994271)
Qun Jin,Tokorozawa,Waseda University,[],POINT (139.4687478 35.7994271)
Runhe Huang,Tokyo,Hosei University,[],POINT (139.7439399 35.6847397)
Bratislav Predic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301)
Dragan Stojanovic,Nis,University of Nis,"['traffic information systems', 'extended floating car data', 'accelerometer data', 'vehicle tracking']",POINT (21.8959232 43.3211301)
Xingang Liu,Chengdu,University of Electronic Science and Technology of China,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (104.0708278 30.7001324)
Jiantan Liu,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Kook-Yeol Yoo,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Haengrae Cho,Kyungsan,Yeungnam University,"['wireless multimedia sensor', 'H.264/AVC', 'intraframe coding', 'complexity']",POINT (128.5730099 35.8715091)
Qiang Liu,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Min Chen,Seoul,Seoul National University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (126.9782914 37.5666791)
Jie Zhang,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Bingwen Shen,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Zhong Chu,Beijing,Beijing Jiaotong University,"['IEEE 802.16e', 'mobile WiMAX', 'railway', 'network planning']",POINT (116.412144 40.190632)
Xiaojun Qian,Nanjing,Nanjing Normal University,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']",POINT (118.7788631 32.0438284)
Xiaoping Che,Paris,Evry University,"['Internet of Things', 'mobile computing', 'security', 'elliptic curve cryptography']",POINT (2.3200410217200766 48.8588897)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Robert Bucki,Bielsko-Biała,The College of Informatics and Management in Bielsko-Biała,[],POINT (19.0448936 49.822118)
Petr Suchanek,Opava,Silesian University in Opava,[],POINT (17.9024174 49.9389004)
Marijana Despotović-Zrakić,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Dusan Barać,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Zorica Bogdanović,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Branislav Jovanić,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Božidar Radenković,Belgrade,University of Belgrade,"['Web-based simulation', 'learning simulation', 'simulation model web repository', 'discrete event simulation', 'e-learning system', 'Moodle']",POINT (-111.184535 45.773279)
Rafael Duque,Santander,University of Cantabria,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.8099719 43.4620412)
Lars Bollen,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325)
Anjo Anjewierden,Enschede,University of Twente,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325)
Crescencio Bravo,Ciudad Real,University of Castilla-La Mancha,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.9285138 38.9854201)
Jens Hellmers,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196)
Jörg Thomaschewski,Emden,University of Applied Sciences Emden/Leer,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (7.2058304 53.3670541)
Eva-Maria Holt,Ratingen,(SEVEN PRINCIPLES,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (6.8493503 51.2973261)
Thomas Wriedt,Bremen,University of Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196)
Marija Jovic,Belgrade,University of Belgrade,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (-111.184535 45.773279)
Dusan Milutinovic,Belgrade,Hemofarm Group,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (-111.184535 45.773279)
Anton Kos,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268)
Saso Tomazic,Ljubljana,University of Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268)
Ester Martínez-Martín,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
M. Teresa Escrig,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
Angel P. del Pobil,Castellón,Jaume-I University,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
Cao Mukun,Xiamen,Xiamen University,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']",POINT (118.0853479 24.4801069)
Melody Y. Kiang,Long Beach,California State University,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']",POINT (-118.191604 33.7690164)
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,[],POINT (-5.6640182 40.9651572)
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,[],POINT (2.1774322 41.3828939)
Miltiadis D. Lytras,Gerakas,The American College of Greece,[],POINT (23.8560814 38.0120455)
Jordán Pascual Espada,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Oscar Sanjuán Martínez,Madrid,University Carlos III of Madrid,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-3.7035825 40.4167047)
B. Cristina Pelayo G-Bustelo,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Juan Manuel Cueva Lovelle,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
David Griffiths,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Mark Johnson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Kris Popat,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Paul Sharples,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Scott Wilson,Bolton,University of Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Ricardo Queirós,Porto,CRACS & INESC-Porto LA & DI-ESEIG/IPP,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512)
José Paulo Leal,Porto,University of Porto,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512)
Marc Alier Forment,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
María José Casany,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Enric Mayol,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Jordi Piguillem,Barcelona,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Nikolas Galanis,Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Salamanca,(USAL Universidad de Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572)
Anton Joha,London,EquaTerra,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (-0.1277653 51.5074456)
Marijn Janssen,Delft,Delft University of Technology,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (4.362724538543995 51.999457199999995)
Yung Bok Kim,Seoul,Sejong University,"['Social Web', 'name card', 'QoS', 'utilization level', 'serviceability', 'cloud', 'SNS']",POINT (126.9782914 37.5666791)
Ricardo Colomo-Palacios,Madrid,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-3.7035825 40.4167047)
Eduardo Fernandes,Sao Paulo,Meta4,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-46.6333824 -23.5506507)
Marc Sabbagh,Asnières sur Seine,Universidad Carlos III de Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (2.2890454 48.9105948)
Miloš Milovanović,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Miroslav Minović,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Starčević Dušan,Belgrade,University of Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Miguel García Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Jose María Alvarez Rodríguez,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Diego Berrueta Muñoz,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422)
Luis Polo Paredes,Gijon,Fundacion CTIC,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422)
Jose Emilio Labra Gayo,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Patricia Ordóñez de Pablos,Oviedo,University of Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Daniel Mellado,Madrid,Rey Juan Carlos University,[],POINT (-3.7035825 40.4167047)
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[],POINT (-3.9285138 38.9854201)
Haralambos Mouratidis,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456)
Christos Kalloniatis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355)
Shareeful Islam,London,University of East London,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (-0.1277653 51.5074456)
Marc-Philippe Huget,Annecy-Chambéry,University of Savoie,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (6.086008679698335 45.7806512)
Stefanos Gritzalis,Mytilene,University of the Aegean,"['security', 'privacy', 'constraints', 'goal modelling', 'meta-model']",POINT (26.554788 39.1037355)
Rahul Rastogi,Port Elizabeth,Nelson Mandela Metropolitan University,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']",POINT (25.6186512 -33.9618359)
Rossouw von Solms,Port Elizabeth,Nelson Mandela Metropolitan University,"['information security service culture', 'ISSC', 'Information security culture', 'culture', 'information security management']",POINT (25.6186512 -33.9618359)
Pedro Martinez-Julia,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795)
Antonio F. Gómez-Skarmeta,Murcia,University of Murcia,"['Next Generation Internet', 'identity', 'privacy', 'overlay networks']",POINT (-1.1305431 37.9923795)
Thijs Baars,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006)
Marco Spruit,Utrecht,Utrecht University,"['SeCA model', 'cloud security', 'cloud computing', 'case study', 'information security']",POINT (5.1215634 52.0907006)
Reijo M. Savola,Oulu,VTT Technical Research Centre of Finland,"['security metrics', 'risk analysis', 'agile SW development']",POINT (25.4716809 65.0118734)
Christian Frühwirth,Espoo,Aalto University,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.6568435 60.2047672)
Ari Pietikäinen,Kirkkonummi,Ericsson Finland,"['security metrics', 'risk analysis', 'agile SW development']",POINT (24.4406694 60.1227857)
Ismael Caballero,Ciudad Real,University of Castilla-La Mancha,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Luis Enrique Sánchez,Ciudad Real,SICAMAN NT.,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-3.9285138 38.9854201)
Alberto Freitas,Porto,Universidade do Porto,"['Health Management Information System (HMIS or HIS)', 'quality health information', 'security health information', 'software engineering', 'security', 'quality', 'HIS', 'Personal Health Record (PHR)', 'ElectroniccHealth Record (EHR)']",POINT (-8.6107884 41.1494512)
