Author,City,Institution,Keywords,location,location_address
Pedro Neves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Ricardo Rodrigues Nunes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Jorge Lima,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
João Varajão,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Ângela Pereira,Leiria,Instituto Politécnico de Leiria,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-8.8071119 39.7437902),"Leiria, Portugal"
Urban Lapajne,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439),"Maribor, Slovenija"
Matej Rus,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439),"Maribor, Slovenija"
Martin Rahe,Barcelona,EADA - Escuela de Alta Dirección y Administración,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Andre Mostert,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Thorsten Klein,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456),"London, England, United Kingdom"
Viktorija Bojovic,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338),"Нови Сад, 21000, Војводина, Србија"
Saša Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338),"Нови Сад, 21000, Војводина, Србија"
Zita Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338),"Нови Сад, 21000, Војводина, Србија"
João Carvalho,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658),"Covilhã, Portugal"
Isabel Duarte,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658),"Covilhã, Portugal"
Andreana Casaramona,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571),"Messina, 98121;98122;98123;98124;98125;98126;98127;98128;98129;98131;98132;98133;98134;98135;98136;98137;98138;98139;98141;98142;98143;98144;98145;98146;98147;98148;98149;98151;98152;98153;98154;98155;98156;98157;98158;98161;98162;98163;98164;98165;981669816798168, Sicilia, Italia"
Alberto Soraci,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571),"Messina, 98121;98122;98123;98124;98125;98126;98127;98128;98129;98131;98132;98133;98134;98135;98136;98137;98138;98139;98141;98142;98143;98144;98145;98146;98147;98148;98149;98151;98152;98153;98154;98155;98156;98157;98158;98161;98162;98163;98164;98165;981669816798168, Sicilia, Italia"
Marc Alier,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Enric Mayol,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Maria Jose Casañ,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Jordi Piguillem,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Jeffrey W. Merriman,Cambridge,Massachusetts Institute of Technology,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (0.1186637 52.2055314),"Cambridge, England, United Kingdom"
Miguel Ángel Conde,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Wouter Tebben,Amsterdam,Free Knowledge Institute,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (4.8924534 52.3730796),"Amsterdam, Noord-Holland, Nederland"
Edmundo Tovar,Madrid,Universidad Politecnica de Madrid,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Oscar Martinez-Bonastre,Elche,Miguel Hernandez University,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-0.6988391 38.2653307),"Elx / Elche, Comunitat Valenciana, España"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
David Lizcano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Fernando Alonso,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Javier Soriano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Genoveva López,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Kamran Ahsan,Stafford,Staffordshire University,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (-2.1163818 52.8063157),"Stafford, England, United Kingdom"
Jorge Martinez-Gil,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028),"Málaga, Andalucía, España"
Ismael Navas-Delgado,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028),"Málaga, Andalucía, España"
Jose F. Aldana-Montes,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028),"Málaga, Andalucía, España"
Goran Martinovic,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793),"Osijek, Hrvatska"
Josip Balen,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793),"Osijek, Hrvatska"
Joaquin Olivares,Cordoba,University of Cordoba,"['video', 'high-speed arithmetics', 'parallel architectures', 'special-purpose and application-based systems']",POINT (-4.7760138 37.8845813),"Córdoba, Andalucía, España"
Guillermo Vega-Gorgojo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328),"Valladolid, Castilla y León, España"
Eduardo Gómez-Sánchez,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328),"Valladolid, Castilla y León, España"
Miguel L. Bote-Lorenzo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328),"Valladolid, Castilla y León, España"
Lorenzo Cantoni,Lugano,Università della Svizzera italiana,[],POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Isabella Rega,Lugano,Università della Svizzera italiana,[],POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Stefan Minder,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742),"Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Michele Notari,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742),"Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Felix Schmitz,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742),"Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Rainer Hofer,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742),"Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Ulrich Woermann,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742),"Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Luca Botturi,Locarno,University of Applied Sciences of Southern Switzerland,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.7954217 46.1695112),"Locarno, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Chiara Bramani,Lugano,University of Lugano,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Sean McCusker,Durham,Durham University,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (-1.5756205 54.7770139),"Durham, DH1 3NG, England, United Kingdom"
Paolo Ferri,Milan,University of Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",POINT (9.1896346 45.4641943),"Milano, Lombardia, Italia"
Jue Wang,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559),"Genève, 1204, Genève, Genève, Schweiz/Suisse/Svizzera/Svizra"
Claudia Berger,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559),"Genève, 1204, Genève, Genève, Schweiz/Suisse/Svizzera/Svizra"
Nicolas Szilas,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559),"Genève, 1204, Genève, Genève, Schweiz/Suisse/Svizzera/Svizra"
Isabella Rega,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Francesca Fanni,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Izak van Zyl,Lugano,Università della svizzera italiana,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",POINT (8.9520281 46.0050102),"Lugano, Ticino, Schweiz/Suisse/Svizzera/Svizra"
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[],POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Qinna Wang,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137),"Lyon, Auvergne-Rhône-Alpes, France"
Eric Fleury,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137),"Lyon, Auvergne-Rhône-Alpes, France"
Onur C. Sert,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Kayhan Dursun,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Tansel Özyer,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759),"Ankara, 06420, Çankaya, Ankara, Türkiye"
Anna Zygmunt,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474),"Kraków, województwo małopolskie, Polska"
Piotr Bródka,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Przemysław Kazienko,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Jarosław Koźlak,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474),"Kraków, województwo małopolskie, Polska"
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678),"Graz, Steiermark, Österreich"
Grzegorz Chmaj,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Krzysztof Walkowiak,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776),"Wrocław, województwo dolnośląskie, Polska"
Ismael Hasan,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703),"A Coruña, Galicia, España"
Javier Parapar,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703),"A Coruña, Galicia, España"
Álvaro Barreiro,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703),"A Coruña, Galicia, España"
Ahmed Nait-Sidi-Moh,Saint Quentin,Université de Picardie Jules Verne,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (3.2876843 49.8465253),"Saint-Quentin, 02100, Hauts-de-France, France"
Mohamed Bakhouya,Helsinki,Aalto University,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (24.9427473 60.1674881),"Helsinki, Manner-Suomi, Suomi"
Wafaa Ait-Cheik-Bihi,Strasbourg,Université de Strasbourg,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (7.7507127 48.584614),"Strasbourg, 67000;67100;67200, Grand Est, France"
Jaafar Gaber,Belfort,Université de Technologie de Belfort Montbéliard,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (6.8628942 47.6379599),"Belfort, 90000, Bourgogne-Franche-Comté, France"
Pierre Vincent,Lille,MobKit,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (3.0635282 50.6365654),"Lille, 59000;59160;59260;59777;59800, Hauts-de-France, France"
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[],POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Luis Enrique Sánchez,Ciudad Real,Sicaman-NT,[],POINT (-3.9285138 38.9854201),"Ciudad Real, Castilla-La Mancha, España"
Eduardo Fernández-Medina,Dortmund,niversity of Castilla-La Mancha,[],POINT (7.4652789 51.5142273),"Dortmund, Nordrhein-Westfalen, Deutschland"
Hannes Holm,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172),"Stockholm, Sverige"
Teodor Sommestad,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172),"Stockholm, Sverige"
Ulrik Franke,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172),"Stockholm, Sverige"
