Author,City,Keywords,coordinates
T. Robinson,Liverpool,"['membrane computing', 'P system', 'array languages', 'shuffle on trajectories']",POINT (-2.99168 53.4071991)
Gexiang Zhang,Chengdu,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Fen Zhou,Chengdu,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Xiaoli Huang,Chengdu,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Jixiang Cheng,Chengdu,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (104.0708278 30.7001324)
Marian Gheorghe,Sheffield,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (-1.4702278 53.3806626)
Florentin Ipate,Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343)
Raluca Lefticaru,Pitesti,"['membrane computing', 'membrane algorithm', 'broadcasting problem', 'particle swarm optimization', 'membrane systems']",POINT (24.8719422 44.8572343)
Kusum Deep,Roorkee,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']",POINT (77.8902124 29.8693496)
Jagdish Chand Bansal,Gwalior,"['Particle Swarm optimization', 'economic dispatch', 'Laplace Crossover', 'Quadratic Approximation Particle Swarm optimization']",POINT (78.1573628 26.2037247)
Musrrat Ali,Suwon,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (127.0287472 37.2633325)
Millie Pant,Saharanpur,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (77.5427464 29.9637438)
Atulya K. Nagar,Liverpool,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (-2.99168 53.4071991)
Chang Wook Ahn,Suwon,"['global optimization', 'differential evolution', 'trigonometric mutation', 'quadratic interpolation', 'local search']",POINT (127.0287472 37.2633325)
Gurvinder Singh Baicher,Gwent,"['optimization', 'quadrature mirror filter bank', 'genetic algorithms', 'IIR filters', 'multirate filter bank', 'real-time implementation', 'pulse code modulation', 'polyphase decomposition']",POINT (-3.000007 51.6666717)
Basabdatta Sen Bhattacharya,Lincoln,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-0.5404819 53.2293545)
Damien Coyle,Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995)
Liam P. Maguire,Ulster,"['Alpha rhythm', 'Event-related-(de)synchronisation', ""Alzheimer's disease"", 'thalamo-cortical model']",POINT (-6.948159941337819 54.574243249999995)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Antonio L. Bajuelos,Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496)
Santiago Canales,Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047)
Gregorio Hernández,Madrid,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-3.7035825 40.4167047)
Mafalda Martins,Aveiro,"['computational geometry', 'art gallery problems', 'visibility and coverage problems', 'hybrid metaheuristics and approximation algorithms']",POINT (-8.6537841 40.640496)
Alton Y.K. Chua,Singapore,"['m-learning', 'software project management', 'motivation', 'gaming']",POINT (103.8194992 1.357107)
Radhika Shenoy Balkunje,Singapore,"['m-learning', 'software project management', 'motivation', 'gaming']",POINT (103.8194992 1.357107)
Doron Drusinsky,Monterey,"['Hidden Markov Models', 'UML', 'statecharts', 'monitoring', 'patterns', 'hidden data']",POINT (-121.387742 36.2231079)
Wojciech Frączek,Warsaw,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Wojciech Mazurczyk,Warsaw,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Krzysztof Szczypiorski,Warsaw,"['information hiding', 'network steganography', 'multilevel steganography', 'MLS']",POINT (-78.1325548 42.7401871)
Jörg Keller,Hagen,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (7.473296 51.3582945)
Christoph W. Kessler,Linköping,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135)
Rikard Hultén,Linköping,"['parallel merge sort', 'on-chip pipelining', 'multicore computing', 'task mapping', 'streaming computations']",POINT (15.6245252 58.4098135)
Alexander Meduna,Brno,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443)
Petr Zemek,Brno,"['formal languages', 'pure grammar systems', 'controlled derivations']",POINT (16.6113382 49.1922443)
Efi Papatheocharous,Nicosia,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (14.397271 37.747452)
Andreas S. Andreou,Lemesos,"['software cost estimation', 'artificial neural networks', 'input sensitivity analysis']",POINT (33.0332657 34.6852901)
Henna Suomi,Espoo,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Kalevi Kilkki,Espoo,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Heikki Hämmäinen,Espoo,"['multipath communication', 'path diversity', 'net benefit', 'end user']",POINT (24.6568435 60.2047672)
Carlos Delgado Kloos,Madrid,[],POINT (-3.7035825 40.4167047)
Davinia Hernández-Leo,Barcelona,[],POINT (2.1774322 41.3828939)
Juan I. Asensio-Pérez,Valladolid,[],POINT (-4.728562 41.6521328)
Henriikka Vartiainen,Savonlinna,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Anu Liljeström,Savonlina,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Jorma Enkenberg,Savonlina,"['pedagogical model', 'learning by collaborative designing', 'learning object', 'project-based learning', 'design-oriented pedagogy']",POINT (28.8797178 61.8689933)
Nikolaos Avouris,Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179)
Nikoleta Yiannoutsou,Patras,"['mobile games', 'mobile learning', 'informal learning', 'location based games', 'game-based learning']",POINT (4.5424004 47.9308179)
Stefaan Ternier,Heerlen,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Roland Klemke,Heerlen,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Marco Kalz,Heerlen,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Patricia van Ulzen,Heerlen,"['immersive learning games', 'augmented reality', 'augmented virtuality']",POINT (5.981506585454879 50.8775239)
Davinia Hernández-Leo,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Raul Nieves,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Ernesto Arroyo,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Andrea Rosales,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Javier Melero,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
Josep Blat,Barcelona,"['activities across spaces', 'CSCL', 'collaborative learning flows', 'classroom orchestration', 'augmented physical spaces', 'wearable devices']",POINT (2.1774322 41.3828939)
María Blanca Ibáñez,Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
David Maroto,Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
José Jesús García Rueda,Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Derick Leony,Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Carlos Delgado Kloos,Madrid,"['hybrid learning environments', 'augmented reality', 'augmented virtuality', 'mirror worlds', '3D virtual worlds', 'architecture for virtual learning environments']",POINT (-3.7035825 40.4167047)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Daniel Găină,Nomi,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Kokichi Futatsugi,Nomi,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Kazuhiro Ogata,Nomi,"['institution', 'Horn logic', 'proof theory', 'completeness', 'induction', 'constructor']",POINT (11.071881 45.928599)
Tarek F. Gharib,Jeddah,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (39.1653612 21.5810088)
Nagwa Badr,Cairo,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (31.2357257 30.0443879)
Shaimaa Haridy,Cairo,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (31.2357257 30.0443879)
Ajith Abraham,ashington,"['semantic web', 'ontology', 'corpus', 'word senses', 'word sense disambiguation (WSD)', 'coarse-grained word senses']",POINT (-1.57027 55.1832364)
David Griffiths,Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Mark William Johnson,Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Kris Popat,Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Paul Sharples,Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Scott Wilson,Bolton,"['W3C', 'Widget', 'affordance', 'Personal Learning Environment', 'learning design', 'app store', 'Apache', 'Wookie', 'Rave', 'EDUKapp', 'iTEC', 'Omelette', 'iCamp', 'ROLE']",POINT (-2.4300367 53.5782863)
Rob J.M. Hartog,Wageningen,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Adrie J.M. Beulens,Wageningen,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Johannes Tramper,Wageningen,"['activating digital learning resources', 'learning objects', 'requirements engineering', 'design-oriented research', 'large-scale use']",POINT (5.668298061827958 51.9685817)
Atif Latif,Kiel,[],POINT (10.135555 54.3227085)
Muhammad Tanvir Afzal,Islamabad,[],POINT (73.0651511 33.6938118)
Hermann Maurer,Graz,[],POINT (15.4382786 47.0708678)
María-Teresa Martín-Valdivia,Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Arturo Montejo-Ráez,Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Alfonso Ureña-López,Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Mohammed Rushdi Saleh,Jaén,"['opinion mining', 'sentiment polarity', 'neutral examples', 'NLP']",POINT (-3.7883289 37.7728858)
Javier Melero,Barcelona,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Davinia Hernández-Leo,Barcelona,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Josep Blat,Barcelona,"['literature review', 'ICT Engineering Education', 'teaching and learning strategies', 'constructivism', 'scaffolding']",POINT (2.1774322 41.3828939)
Hui Ma,Wellington,[],POINT (174.7772114 -41.2887953)
Klaus-Dieter Schewe,Linz,[],POINT (14.286198 48.3059078)
Bernhard Thalheim,Kiel,[],POINT (10.135555 54.3227085)
Qing Wang,Canberra,[],POINT (149.1012676 -35.2975906)
Juan M. Vara,Madrid,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047)
Vasilios Andrikopoulos,Stuttgart,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (9.1800132 48.7784485)
Michael P. Papazoglou,Tilburg,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (5.0886014 51.5562404)
Esperanza Marcos,Madrid,"['service evolution', 'model-driven engineering', 'compatibility', 'type theory']",POINT (-3.7035825 40.4167047)
Jorge Roa,Santa Fe,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Pablo Villarreal,Santa Fe,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Omar Chiotti,Santa Fe,"['verification', 'choreography', 'Web service', 'business process']",POINT (-105.938456 35.6876096)
Jose Ignacio Fernández-Villamor,Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Carlos Á. Iglesias,Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Mercedes Garijo,Madrid,"['mashups', 'services', 'widgets', 'components', 'discovery', 'integration']",POINT (-3.7035825 40.4167047)
Ji Ma,Hagenberg,"['risk assessment', 'access control', 'RBAC', 'poset', 'security classification']",POINT (14.516935 48.3674201)
Ajantha Dahanayake,Riyadh,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']",POINT (-15.931358244103087 17.9909945)
Bernhard Thalheim,Kiel,"['service systems', 'conceptual modelling', 'IT service systems', 'Web-based services', 'classical rhetorical frame', 'Hermagoras of Temnos', 'conceptual model for services']",POINT (10.135555 54.3227085)
Valeria de Castro,Madrid,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Juan Manuel Vara,Madrid,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Esperanza Marcos,Madrid,"['service-oriented', 'model-driven development', 'Web information systems']",POINT (-3.7035825 40.4167047)
Hongming Cai,Shanghai,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Boyi Xu,Shanghai,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Fenglin Bu,Shanghai,"['conceptual model', 'software engineering', 'information systems', 'ontology', 'resource oriented architecture', 'business process', 'service composition']",POINT (121.4700152 31.2312707)
Carlos Delgado Kloos,Madrid,[],POINT (-3.7035825 40.4167047)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Frank Kappe,Graz,[],POINT (15.4382786 47.0708678)
David Griol,Leganés,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
José Manuel Molina,Leganés,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
Araceli Sanchis de Miguel,Leganés,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.76527 40.3281942)
Zoraida Callejas,Granada,"['Virtual Worlds', 'Second Life', 'OpenSimulator', 'Sloodle', 'E-learning', 'speech interaction']",POINT (-3.5995337 37.1734995)
Nathan Labhart,Zürich,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489)
Béatrice S. Hasler,Herzliya,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (34.8469023 32.1656255)
Andy Zbinden,Zürich,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.5410422 47.3744489)
Andreas Schmeil,Lugano,"['global teaching', 'intercultural learning', 'videoconference', '3D collaborative virtual environments']",POINT (8.9520281 46.0050102)
María Blanca Ibáñez,Leganés,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
José Jesús Garcia Rueda,Leganés,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Diego Morillo,Leganés,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Carlos Delgado Kloos,Leganés,"['authoring tools', '3D collaborative virtual worlds', 'computer based assessment', 'TAM']",POINT (-3.76527 40.3281942)
Pilar Sancho,Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Javier Torrente,Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Baltasar Fernández-Manjón,Madrid,"['computer supported collaborative learning', 'problem based learning', 'learning in multi-user virtual environments']",POINT (-3.7035825 40.4167047)
Alok Mishra,Ankara,[],POINT (32.8540497 39.9207759)
Jürgen Münch,Helsinki,[],POINT (24.9427473 60.1674881)
Deepti Mishra,Ankara,[],POINT (32.8540497 39.9207759)
José Luis Hernández,Ciudad Real,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Aurora Vizcaíno,Ciudad Real,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Ismael Caballero,Ciudad Real,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-3.9285138 38.9854201)
Gabriela Aranda,Neuquen,"['trust', 'distributed software sevelopment (DSD)', 'global software development (GSD)', 'tools for GSD']",POINT (-69.832275 -38.3695057)
George M. Giaglis,Athens,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']",POINT (-83.376398 33.9597677)
Diomidis Spinellis,Athens,"['FLOSS', 'open source development', 'virtual teams', 'distributed work', 'FreeBSD']",POINT (-83.376398 33.9597677)
Ricardo Colomo-Palacios,Leganes,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942)
Pedro Soto-Acosta,Murcia,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-1.1305431 37.9923795)
Francisco J. García-Peñalvo,Salamanca,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-5.6640182 40.9651572)
Ángel García-Crespo,Leganes,"['global software development', 'product manager', 'release planning', 'focus group', 'Delphi study']",POINT (-3.76527 40.3281942)
Luis Iribarne,University of Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-79.39775966248058 43.663461999999996)
Nicolas Padilla,Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197)
Javier Criado,Almeria,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-2.4628135 36.8414197)
Cristina Vicente-Chicote,Cartagena,"['MDE', 'component-based development', 'user interfaces', 'user interaction', 'cooperative systems']",POINT (-0.9841152 37.6019353)
Gislaine Camila Lapasini Leal,Maringa,"['global software development', 'software process', 'test']",POINT (-51.9382078 -23.425269)
Ana Paula Chaves,Campo Mourao,"['global software development', 'software process', 'test']",POINT (-52.37802 -24.046329)
Elisa Hatsue Moriya Huzita,Maringa,"['global software development', 'software process', 'test']",POINT (-51.9382078 -23.425269)
Marcio Eduardo Delamaro,Sao Carlos,"['global software development', 'software process', 'test']",POINT (-47.891154 -22.0180395)
Anuradha Mathrani,Auckland,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
David Parsons,Auckland,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
Sanjay Mathrani,Auckland,"['distributed knowledge management', 'Tacit', 'Explicit', 'Experience Capture', 'Software Development']",POINT (174.7631803 -36.852095)
Deepti Mishra,Ankara,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759)
Alok Mishra,Ankara,"['global software development', 'distributed software development', 'software inspection', 'tool', 'software quality']",POINT (32.8540497 39.9207759)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Lutz Prechelt,Berlin,"['FNR', 'failures', 'forum', 'negative results']",POINT (13.3888599 52.5170365)
Mushtaq Ahmad,Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']",POINT (28.1879101 -25.7459277)
Stefan Gruner,Pretoria,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']",POINT (28.1879101 -25.7459277)
Muhammad Tanvir Afzal,Islamabad,"['MPEG spelling variations', 'mapping', 'phonetic algorithms']",POINT (73.0651511 33.6938118)
Luiz F. Bittencourt,Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
Flávio K. Miyazawa,Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
André L. Vignatti,Campinas,"['load balancing', 'Nash equilibrium', 'game theory']",POINT (-47.059564 -22.9056391)
Dario Della Monica,Reykjavik,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-21.9422367 64.145981)
Valentin Goranko,Copenhagen,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (12.5700724 55.6867243)
Angelo Montanari,Udine,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (13.2358377 46.0634632)
Guido Sciavicco,Murcia,"['interval neighborhood logics', 'undecidability', 'hybrid logics', 'interval length binders', 'first-order logic']",POINT (-1.1305431 37.9923795)
Daewon Kim,Cheonan,"['mobile', 'augmented reality', 'image', 'object', 'recognition']",POINT (127.1140654 36.8150283)
Doosung Hwang,Cheonan,"['mobile', 'augmented reality', 'image', 'object', 'recognition']",POINT (127.1140654 36.8150283)
Jonas Lundberg,Vaxjo,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183)
Welf Lowe,Vaxjo,"['static program analysis', 'points-to analysis', 'context sensitivity']",POINT (14.8094385 56.8787183)
Iosif Petrakis,München,"['constructive mathematics', 'countable choice']",POINT (11.5753822 48.1371079)
Vladimir Tarasov,Jönköping,"['competence', 'competence managemen', 'competence profile', 'formalisation', 'ontology-based profile', 'OWL', 'Jena']",POINT (14.165719 57.7825634)
Anton V. Uzunov,Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (138.5999312 -34.9281805)
Eduardo B. Fernandez,Boca Raton,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (-80.0830984 26.3586885)
Katrina Falkner,Adelaide,"['computer security', 'security engineering', 'secure software engineering', 'distributed systems', 'security methodologies', 'model driven security', 'secure software architectures', 'security patterns', 'model-based development', 'survey']",POINT (138.5999312 -34.9281805)
